	ligand	receptor	annotation	pathway
EFNB1|EPHB1	EFNB1	EPHB1	Cell-Cell Contact	EPHB
EFNB1|EPHB2	EFNB1	EPHB2	Cell-Cell Contact	EPHB
EFNB1|EPHB3	EFNB1	EPHB3	Cell-Cell Contact	EPHB
EFNB1|EPHB4	EFNB1	EPHB4	Cell-Cell Contact	EPHB
EFNB3|EPHA4	EFNB3	EPHA4	Cell-Cell Contact	EPHB
EFNB3|EPHB1	EFNB3	EPHB1	Cell-Cell Contact	EPHB
EFNB3|EPHB2	EFNB3	EPHB2	Cell-Cell Contact	EPHB
EFNB3|EPHB3	EFNB3	EPHB3	Cell-Cell Contact	EPHB
EFNB3|EPHB4	EFNB3	EPHB4	Cell-Cell Contact	EPHB
EFNB3|EPHB6	EFNB3	EPHB6	Cell-Cell Contact	EPHB
EGF|EGFR	EGF	EGFR	Secreted	EGF
ENHO|GPR19	ENHO	GPR19	Secreted	ENHO
ENTPD1|ADORA1	ENTPD1	ADORA1	Cell-Cell Contact	CD39
ENTPD1|ADORA2A	ENTPD1	ADORA2A	Cell-Cell Contact	CD39
ENTPD1|ADORA2B	ENTPD1	ADORA2B	Cell-Cell Contact	CD39
ENTPD1|TMIGD3	ENTPD1	TMIGD3	Cell-Cell Contact	CD39
EPGN|EGFR	EPGN	EGFR	Cell-Cell Contact	EPGN
EPO|EPOR	EPO	EPOR	Secreted	EPO
EREG|EGFR	EREG	EGFR	Secreted	EGF
ESAM|ESAM	ESAM	ESAM	Cell-Cell Contact	ESAM
F11R|F11R	F11R	F11R	Cell-Cell Contact	JAM
F11R|ITGAL_ITGB2	F11R	ITGAL_ITGB2	Cell-Cell Contact	JAM
F11R|JAM2	F11R	JAM2	Cell-Cell Contact	JAM
F11R|JAM3	F11R	JAM3	Cell-Cell Contact	JAM
F2|F2R	F2	F2R	Secreted	PARs
F2|F2RL1	F2	F2RL1	Secreted	PARs
F2|F2RL2	F2	F2RL2	Secreted	PARs
F2|F2RL3	F2	F2RL3	Secreted	PARs
F2|PARD3	F2	PARD3	Secreted	PARs
FASLG|FAS	FASLG	FAS	Secreted	FASLG
FCER2|CR2	FCER2	CR2	Cell-Cell Contact	CD23
FCER2|ITGAM_ITGB2	FCER2	ITGAM_ITGB2	Cell-Cell Contact	CD23
FCER2|ITGAX_ITGB2	FCER2	ITGAX_ITGB2	Cell-Cell Contact	CD23
FDX1_FDX2_CYP11A1_FDXR|NR1I2	FDX1_FDX2_CYP11A1_FDXR	NR1I2	Non-protein Signaling	Pregnenolone
FGF1|FGFR1	FGF1	FGFR1	Secreted	FGF
FGF1|FGFR2	FGF1	FGFR2	Secreted	FGF
FGF1|FGFR3	FGF1	FGFR3	Secreted	FGF
FGF1|FGFR4	FGF1	FGFR4	Secreted	FGF
FGF10|FGFR1	FGF10	FGFR1	Secreted	FGF
FGF10|FGFR2	FGF10	FGFR2	Secreted	FGF
FGF16|FGFR1	FGF16	FGFR1	Secreted	FGF
FGF16|FGFR2	FGF16	FGFR2	Secreted	FGF
FGF16|FGFR3	FGF16	FGFR3	Secreted	FGF
FGF16|FGFR4	FGF16	FGFR4	Secreted	FGF
FGF17|FGFR1	FGF17	FGFR1	Secreted	FGF
FGF17|FGFR2	FGF17	FGFR2	Secreted	FGF
FGF17|FGFR3	FGF17	FGFR3	Secreted	FGF
FGF17|FGFR4	FGF17	FGFR4	Secreted	FGF
FGF18|FGFR1	FGF18	FGFR1	Secreted	FGF
FGF18|FGFR2	FGF18	FGFR2	Secreted	FGF
FGF18|FGFR3	FGF18	FGFR3	Secreted	FGF
FGF18|FGFR4	FGF18	FGFR4	Secreted	FGF
FGF19|FGFR1	FGF19	FGFR1	Secreted	FGF
FGF19|FGFR2	FGF19	FGFR2	Secreted	FGF
FGF19|FGFR3	FGF19	FGFR3	Secreted	FGF
FGF19|FGFR4	FGF19	FGFR4	Secreted	FGF
FGF2|FGFR1	FGF2	FGFR1	Secreted	FGF
FGF2|FGFR2	FGF2	FGFR2	Secreted	FGF
FGF2|FGFR3	FGF2	FGFR3	Secreted	FGF
FGF2|FGFR4	FGF2	FGFR4	Secreted	FGF
FGF20|FGFR1	FGF20	FGFR1	Secreted	FGF
FGF20|FGFR2	FGF20	FGFR2	Secreted	FGF
FGF20|FGFR3	FGF20	FGFR3	Secreted	FGF
FGF20|FGFR4	FGF20	FGFR4	Secreted	FGF
FGF21|FGFR1	FGF21	FGFR1	Secreted	FGF
FGF21|FGFR3	FGF21	FGFR3	Secreted	FGF
FGF22|FGFR2	FGF22	FGFR2	Secreted	FGF
FGF23|FGFR1	FGF23	FGFR1	Secreted	FGF
FGF23|FGFR3	FGF23	FGFR3	Secreted	FGF
FGF23|FGFR4	FGF23	FGFR4	Secreted	FGF
FGF3|FGFR1	FGF3	FGFR1	Secreted	FGF
FGF3|FGFR2	FGF3	FGFR2	Secreted	FGF
FGF4|FGFR1	FGF4	FGFR1	Secreted	FGF
FGF4|FGFR2	FGF4	FGFR2	Secreted	FGF
FGF4|FGFR3	FGF4	FGFR3	Secreted	FGF
FGF4|FGFR4	FGF4	FGFR4	Secreted	FGF
FGF5|FGFR1	FGF5	FGFR1	Secreted	FGF
FGF5|FGFR2	FGF5	FGFR2	Secreted	FGF
FGF5|FGFR3	FGF5	FGFR3	Secreted	FGF
FGF5|FGFR4	FGF5	FGFR4	Secreted	FGF
FGF6|FGFR1	FGF6	FGFR1	Secreted	FGF
FGF6|FGFR2	FGF6	FGFR2	Secreted	FGF
FGF6|FGFR3	FGF6	FGFR3	Secreted	FGF
FGF6|FGFR4	FGF6	FGFR4	Secreted	FGF
FGF7|FGFR1	FGF7	FGFR1	Secreted	FGF
FGF7|FGFR2	FGF7	FGFR2	Secreted	FGF
FGF8|FGFR1	FGF8	FGFR1	Secreted	FGF
FGF8|FGFR2	FGF8	FGFR2	Secreted	FGF
FGF8|FGFR3	FGF8	FGFR3	Secreted	FGF
FGF8|FGFR4	FGF8	FGFR4	Secreted	FGF
FGF9|FGFR1	FGF9	FGFR1	Secreted	FGF
FGF9|FGFR2	FGF9	FGFR2	Secreted	FGF
FGF9|FGFR3	FGF9	FGFR3	Secreted	FGF
FGF9|FGFR4	FGF9	FGFR4	Secreted	FGF
FLRT1|ADGRL1	FLRT1	ADGRL1	Cell-Cell Contact	ADGRL
FLRT1|ADGRL2	FLRT1	ADGRL2	Cell-Cell Contact	ADGRL
FLRT1|ADGRL3	FLRT1	ADGRL3	Cell-Cell Contact	ADGRL
FLRT1|FLRT1	FLRT1	FLRT1	Cell-Cell Contact	FLRT
FLRT1|UNC5A	FLRT1	UNC5A	Cell-Cell Contact	UNC5
FLRT1|UNC5B	FLRT1	UNC5B	Cell-Cell Contact	UNC5
FLRT1|UNC5C	FLRT1	UNC5C	Cell-Cell Contact	UNC5
FLRT1|UNC5D	FLRT1	UNC5D	Cell-Cell Contact	UNC5
FLRT1_TENM2|ADGRL1	FLRT1_TENM2	ADGRL1	Cell-Cell Contact	ADGRL
FLRT1_TENM3|ADGRL3	FLRT1_TENM3	ADGRL3	Cell-Cell Contact	ADGRL
FLRT1_TENM4|ADGRL1	FLRT1_TENM4	ADGRL1	Cell-Cell Contact	ADGRL
FLRT2|ADGRL1	FLRT2	ADGRL1	Cell-Cell Contact	ADGRL
FLRT2|ADGRL2	FLRT2	ADGRL2	Cell-Cell Contact	ADGRL
FLRT2|ADGRL3	FLRT2	ADGRL3	Cell-Cell Contact	ADGRL
FLRT2|FLRT2	FLRT2	FLRT2	Cell-Cell Contact	FLRT
FLRT2|UNC5A	FLRT2	UNC5A	Cell-Cell Contact	UNC5
FLRT2|UNC5B	FLRT2	UNC5B	Cell-Cell Contact	UNC5
FLRT2|UNC5C	FLRT2	UNC5C	Cell-Cell Contact	UNC5
FLRT2|UNC5D	FLRT2	UNC5D	Cell-Cell Contact	UNC5
FLRT3|ADGRL1	FLRT3	ADGRL1	Cell-Cell Contact	ADGRL
FLRT3|ADGRL2	FLRT3	ADGRL2	Cell-Cell Contact	ADGRL
FLRT3|ADGRL3	FLRT3	ADGRL3	Cell-Cell Contact	ADGRL
FLRT3|FLRT3	FLRT3	FLRT3	Cell-Cell Contact	FLRT
FLRT3|UNC5A	FLRT3	UNC5A	Cell-Cell Contact	UNC5
FLRT3|UNC5B	FLRT3	UNC5B	Cell-Cell Contact	UNC5
FLRT3|UNC5C	FLRT3	UNC5C	Cell-Cell Contact	UNC5
FLRT3|UNC5D	FLRT3	UNC5D	Cell-Cell Contact	UNC5
FLRT3_TENM2|ADGRL1	FLRT3_TENM2	ADGRL1	Cell-Cell Contact	ADGRL
FLRT3_TENM2|ADGRL2	FLRT3_TENM2	ADGRL2	Cell-Cell Contact	ADGRL
FLRT3_TENM3|ADGRL3	FLRT3_TENM3	ADGRL3	Cell-Cell Contact	ADGRL
FLRT3_TENM4|ADGRL1	FLRT3_TENM4	ADGRL1	Cell-Cell Contact	ADGRL
FLT3LG|FLT3	FLT3LG	FLT3	Secreted	FLT3
FN1|CD44	FN1	CD44	ECM-Receptor	FN1
FN1|ITGA3_ITGB1	FN1	ITGA3_ITGB1	ECM-Receptor	FN1
FN1|ITGA4_ITGB1	FN1	ITGA4_ITGB1	ECM-Receptor	FN1
FN1|ITGA4_ITGB7	FN1	ITGA4_ITGB7	ECM-Receptor	FN1
FN1|ITGA5_ITGB1	FN1	ITGA5_ITGB1	ECM-Receptor	FN1
FN1|ITGA8_ITGB1	FN1	ITGA8_ITGB1	ECM-Receptor	FN1
FN1|ITGAV_ITGB1	FN1	ITGAV_ITGB1	ECM-Receptor	FN1
FN1|ITGAV_ITGB6	FN1	ITGAV_ITGB6	ECM-Receptor	FN1
FN1|ITGAV_ITGB8	FN1	ITGAV_ITGB8	ECM-Receptor	FN1
FN1|SDC1	FN1	SDC1	ECM-Receptor	FN1
FN1|SDC4	FN1	SDC4	ECM-Receptor	FN1
FREM1_NPNT_FRAS1|ITGA8_ITGB1	FREM1_NPNT_FRAS1	ITGA8_ITGB1	ECM-Receptor	NPNT
FREM2_NPNT_FRAS1|ITGA8_ITGB1	FREM2_NPNT_FRAS1	ITGA8_ITGB1	ECM-Receptor	NPNT
FSHB|FSHR	FSHB	FSHR	Secreted	FSH
GAL|GALR1	GAL	GALR1	Secreted	GALANIN
GAL|GALR2	GAL	GALR2	Secreted	GALANIN
GAL|GALR3	GAL	GALR3	Secreted	GALANIN
GALP|GALR1	GALP	GALR1	Secreted	GALANIN
GALP|GALR2	GALP	GALR2	Secreted	GALANIN
GALP|GALR3	GALP	GALR3	Secreted	GALANIN
GAS6|AXL	GAS6	AXL	Secreted	GAS
GAS6|MERTK	GAS6	MERTK	Secreted	GAS
GAS6|TYRO3	GAS6	TYRO3	Secreted	GAS
GAST|ADGRG1	GAST	ADGRG1	Cell-Cell Contact	ADGRG
GCG|GCGR	GCG	GCGR	Secreted	GCG
GCG|GIPR	GCG	GIPR	Secreted	GIPR
GCG|GLP1R	GCG	GLP1R	Secreted	GCG
GCG|GLP2R	GCG	GLP2R	Secreted	GCG
GDF1|ACVR1B_ACVR2A_CFC1	GDF1	ACVR1B_ACVR2A_CFC1	Secreted	NODAL
GDF1|ACVR1B_ACVR2B_CFC1	GDF1	ACVR1B_ACVR2B_CFC1	Secreted	NODAL
GDF1|ACVR1C_ACVR2A_CFC1	GDF1	ACVR1C_ACVR2A_CFC1	Secreted	NODAL
GDF1|ACVR1C_ACVR2B_CFC1	GDF1	ACVR1C_ACVR2B_CFC1	Secreted	NODAL
GDF10|ACVR1B_ACVR2A	GDF10	ACVR1B_ACVR2A	Secreted	GDF
GDF11|ACVR1B_ACVR2B	GDF11	ACVR1B_ACVR2B	Secreted	GDF
GDF11|ACVR2A_TGFBR1	GDF11	ACVR2A_TGFBR1	Secreted	GDF
GDF11|ACVR2B_TGFBR1	GDF11	ACVR2B_TGFBR1	Secreted	GDF
GDF15|TGFBR2	GDF15	TGFBR2	Secreted	GDF
GDF2|ACVR2A_ACVRL1	GDF2	ACVR2A_ACVRL1	Secreted	BMP10
GDF2|BMPR2_ACVRL1	GDF2	BMPR2_ACVRL1	Secreted	BMP10
GDF3|ACVR1B_ACVR2A_CFC1	GDF3	ACVR1B_ACVR2A_CFC1	Secreted	NODAL
GDF3|ACVR1B_ACVR2B_CFC1	GDF3	ACVR1B_ACVR2B_CFC1	Secreted	NODAL
GDF3|ACVR1C_ACVR2A_CFC1	GDF3	ACVR1C_ACVR2A_CFC1	Secreted	NODAL
GDF3|ACVR1C_ACVR2B_CFC1	GDF3	ACVR1C_ACVR2B_CFC1	Secreted	NODAL
GDF5|ACVR2A_BMPR1A	GDF5	ACVR2A_BMPR1A	Secreted	BMP
GDF5|ACVR2B_BMPR1A	GDF5	ACVR2B_BMPR1A	Secreted	BMP
GDF5|BMPR1B_ACVR2A	GDF5	BMPR1B_ACVR2A	Secreted	BMP
GDF5|BMPR1B_ACVR2B	GDF5	BMPR1B_ACVR2B	Secreted	BMP
GDF5|BMPR1B_BMPR2	GDF5	BMPR1B_BMPR2	Secreted	BMP
GDF5|BMPR2_BMPR1A	GDF5	BMPR2_BMPR1A	Secreted	BMP
GDF6|ACVR2A_BMPR1A	GDF6	ACVR2A_BMPR1A	Secreted	BMP
GDF6|ACVR2B_BMPR1A	GDF6	ACVR2B_BMPR1A	Secreted	BMP
GDF6|BMPR1B_ACVR2A	GDF6	BMPR1B_ACVR2A	Secreted	BMP
GDF6|BMPR1B_ACVR2B	GDF6	BMPR1B_ACVR2B	Secreted	BMP
GDF6|BMPR1B_BMPR2	GDF6	BMPR1B_BMPR2	Secreted	BMP
GDF6|BMPR2_BMPR1A	GDF6	BMPR2_BMPR1A	Secreted	BMP
GDF7|ACVR2A_BMPR1A	GDF7	ACVR2A_BMPR1A	Secreted	BMP
GDF7|ACVR2B_BMPR1A	GDF7	ACVR2B_BMPR1A	Secreted	BMP
GDF7|BMPR1B_ACVR2A	GDF7	BMPR1B_ACVR2A	Secreted	BMP
GDF7|BMPR1B_ACVR2B	GDF7	BMPR1B_ACVR2B	Secreted	BMP
GDF7|BMPR1B_BMPR2	GDF7	BMPR1B_BMPR2	Secreted	BMP
GDF7|BMPR2_BMPR1A	GDF7	BMPR2_BMPR1A	Secreted	BMP
GDF9|BMPR2_ACVR1B	GDF9	BMPR2_ACVR1B	Secreted	GDF
GDNF|GFRA1_RET	GDNF	GFRA1_RET	Secreted	GDNF
GGT5_GGT1|CYSLTR1	GGT5_GGT1	CYSLTR1	Non-protein Signaling	CysLTs
GGT5_GGT1|CYSLTR2	GGT5_GGT1	CYSLTR2	Non-protein Signaling	CysLTs
GH1|GHR	GH1	GHR	Secreted	GH
GH1|PRLR	GH1	PRLR	Secreted	GH
GHRH|GHRHR	GHRH	GHRHR	Secreted	GHRH
GHRH|VIPR1	GHRH	VIPR1	Secreted	GHRH
GHRH|VIPR2	GHRH	VIPR2	Secreted	GHRH
GIP|GIPR	GIP	GIPR	Secreted	GIPR
GJA1|GJA1	GJA1	GJA1	Cell-Cell Contact	GAP
GJA1|GJA5	GJA1	GJA5	Cell-Cell Contact	GAP
GJA3|GJA1	GJA3	GJA1	Cell-Cell Contact	GAP
GJA3|GJA3	GJA3	GJA3	Cell-Cell Contact	GAP
GJA3|GJA5	GJA3	GJA5	Cell-Cell Contact	GAP
GJA3|GJC1	GJA3	GJC1	Cell-Cell Contact	GAP
GJA5|GJA5	GJA5	GJA5	Cell-Cell Contact	GAP
GJC1|GJA1	GJC1	GJA1	Cell-Cell Contact	GAP
GJC1|GJA5	GJC1	GJA5	Cell-Cell Contact	GAP
GJC1|GJC1	GJC1	GJC1	Cell-Cell Contact	GAP
GNRH1|GNRHR	GNRH1	GNRHR	Secreted	GNRH
GP1BA|ITGAM_ITGB2	GP1BA	ITGAM_ITGB2	Cell-Cell Contact	GP1BA
GPHB5_GPHA2|TSHR	GPHB5_GPHA2	TSHR	Non-protein Signaling	TSH
GRN|SORT1	GRN	SORT1	Secreted	GRN
GRP|GRPR	GRP	GRPR	Secreted	GPR
GRP|NMBR	GRP	NMBR	Secreted	GRP
GUCA2A|GUCY2C	GUCA2A	GUCY2C	Secreted	GUCA
GUCA2B|GUCY2C	GUCA2B	GUCY2C	Secreted	GUCA
GZMA|F2R	GZMA	F2R	Secreted	PARs
GZMA|F2RL1	GZMA	F2RL1	Secreted	PARs
GZMA|F2RL2	GZMA	F2RL2	Secreted	PARs
GZMA|F2RL3	GZMA	F2RL3	Secreted	PARs
GZMA|PARD3	GZMA	PARD3	Secreted	PARs
HBEGF|EGFR	HBEGF	EGFR	Secreted	EGF
HDC|HRH4	HDC	HRH4	Non-protein Signaling	Histamine
HGF|MET	HGF	MET	Secreted	HGF
HLA-A|CD8A	HLA-A	CD8A	Cell-Cell Contact	MHC-I
HLA-A|CD8B	HLA-A	CD8B	Cell-Cell Contact	MHC-I
HLA-A|CD8B2	HLA-A	CD8B2	Cell-Cell Contact	MHC-I
HLA-A|KIR3DL1	HLA-A	KIR3DL1	Cell-Cell Contact	MHC-I
HLA-B|CD8A	HLA-B	CD8A	Cell-Cell Contact	MHC-I
HLA-B|CD8B	HLA-B	CD8B	Cell-Cell Contact	MHC-I
HLA-B|CD8B2	HLA-B	CD8B2	Cell-Cell Contact	MHC-I
HLA-B|KIR3DL2	HLA-B	KIR3DL2	Cell-Cell Contact	MHC-I
HLA-C|CD8A	HLA-C	CD8A	Cell-Cell Contact	MHC-I
HLA-C|CD8B	HLA-C	CD8B	Cell-Cell Contact	MHC-I
HLA-C|CD8B2	HLA-C	CD8B2	Cell-Cell Contact	MHC-I
HLA-C|KIR2DL1	HLA-C	KIR2DL1	Cell-Cell Contact	MHC-I
HLA-C|KIR2DL2	HLA-C	KIR2DL2	Cell-Cell Contact	MHC-I
HLA-C|KIR2DL3	HLA-C	KIR2DL3	Cell-Cell Contact	MHC-I
HLA-C|KIR2DS1	HLA-C	KIR2DS1	Cell-Cell Contact	MHC-I
HLA-C|KIR2DS4	HLA-C	KIR2DS4	Cell-Cell Contact	MHC-I
HLA-C|KIR3DL3	HLA-C	KIR3DL3	Cell-Cell Contact	MHC-I
HLA-DMA|CD4	HLA-DMA	CD4	Cell-Cell Contact	MHC-II
HLA-DMB|CD4	HLA-DMB	CD4	Cell-Cell Contact	MHC-II
HLA-DOA|CD4	HLA-DOA	CD4	Cell-Cell Contact	MHC-II
HLA-DOB|CD4	HLA-DOB	CD4	Cell-Cell Contact	MHC-II
HLA-DPA1|CD4	HLA-DPA1	CD4	Cell-Cell Contact	MHC-II
HLA-DPB1|CD4	HLA-DPB1	CD4	Cell-Cell Contact	MHC-II
HLA-DQA1|CD4	HLA-DQA1	CD4	Cell-Cell Contact	MHC-II
HLA-DQA2|CD4	HLA-DQA2	CD4	Cell-Cell Contact	MHC-II
HLA-DQB1|CD4	HLA-DQB1	CD4	Cell-Cell Contact	MHC-II
HLA-DRA|CD4	HLA-DRA	CD4	Cell-Cell Contact	MHC-II
HLA-DRB1|CD4	HLA-DRB1	CD4	Cell-Cell Contact	MHC-II
HLA-DRB3|CD4	HLA-DRB3	CD4	Cell-Cell Contact	MHC-II
HLA-DRB4|CD4	HLA-DRB4	CD4	Cell-Cell Contact	MHC-II
HLA-DRB5|CD4	HLA-DRB5	CD4	Cell-Cell Contact	MHC-II
HLA-E|CD8A	HLA-E	CD8A	Cell-Cell Contact	MHC-I
HLA-E|CD8B	HLA-E	CD8B	Cell-Cell Contact	MHC-I
HLA-E|CD8B2	HLA-E	CD8B2	Cell-Cell Contact	MHC-I
HLA-E|KLRC1	HLA-E	KLRC1	Cell-Cell Contact	MHC-I
HLA-E|KLRC1_KLRD1	HLA-E	KLRC1_KLRD1	Cell-Cell Contact	MHC-I
HLA-E|KLRC2	HLA-E	KLRC2	Cell-Cell Contact	MHC-I
HLA-E|KLRC2_KLRD1	HLA-E	KLRC2_KLRD1	Cell-Cell Contact	MHC-I
HLA-E|KLRC3_KLRD1	HLA-E	KLRC3_KLRD1	Cell-Cell Contact	MHC-I
HLA-E|KLRK1	HLA-E	KLRK1	Cell-Cell Contact	MHC-I
HLA-F|CD8A	HLA-F	CD8A	Cell-Cell Contact	MHC-I
HLA-F|CD8B	HLA-F	CD8B	Cell-Cell Contact	MHC-I
HLA-F|CD8B2	HLA-F	CD8B2	Cell-Cell Contact	MHC-I
HLA-F|KIR3DL1	HLA-F	KIR3DL1	Cell-Cell Contact	MHC-I
HLA-F|KIR3DL2	HLA-F	KIR3DL2	Cell-Cell Contact	MHC-I
HLA-F|KIR3DS1	HLA-F	KIR3DS1	Cell-Cell Contact	MHC-I
HLA-F|LILRB1	HLA-F	LILRB1	Cell-Cell Contact	MHC-I
HLA-G|CD8A	HLA-G	CD8A	Cell-Cell Contact	MHC-I
HLA-G|CD8B	HLA-G	CD8B	Cell-Cell Contact	MHC-I
HLA-G|CD8B2	HLA-G	CD8B2	Cell-Cell Contact	MHC-I
HLA-G|LILRB1	HLA-G	LILRB1	Cell-Cell Contact	MHC-I
HLA-G|LILRB2	HLA-G	LILRB2	Cell-Cell Contact	MHC-I
HSD17B1|ESR1	HSD17B1	ESR1	Non-protein Signaling	Estradiol
HSD17B1|ESR2	HSD17B1	ESR2	Non-protein Signaling	Estradiol
HSD17B1|NR1I2	HSD17B1	NR1I2	Non-protein Signaling	Estradiol
HSD17B12|AR	HSD17B12	AR	Non-protein Signaling	Testosterone
HSD17B3|AR	HSD17B3	AR	Non-protein Signaling	Testosterone
HSD17B6|NR1H4	HSD17B6	NR1H4	Non-protein Signaling	Androsterone
HSD3B1|CATSPER1_CATSPERB	HSD3B1	CATSPER1_CATSPERB	Non-protein Signaling	Progesterone
HSD3B1|CATSPER1_CATSPERD	HSD3B1	CATSPER1_CATSPERD	Non-protein Signaling	Progesterone
HSD3B1|CATSPER2_CATSPERB	HSD3B1	CATSPER2_CATSPERB	Non-protein Signaling	Progesterone
HSD3B1|CATSPER3_CATSPERB	HSD3B1	CATSPER3_CATSPERB	Non-protein Signaling	Progesterone
HSD3B1|CATSPER3_CATSPERD	HSD3B1	CATSPER3_CATSPERD	Non-protein Signaling	Progesterone
HSD3B1|CATSPER4_CATSPERB	HSD3B1	CATSPER4_CATSPERB	Non-protein Signaling	Progesterone
HSD3B1|CATSPER4_CATSPERD	HSD3B1	CATSPER4_CATSPERD	Non-protein Signaling	Progesterone
HSD3B1|CATSPERD_CATSPER2	HSD3B1	CATSPERD_CATSPER2	Non-protein Signaling	Progesterone
IAPP|CALCR	IAPP	CALCR	Secreted	CALCR
IAPP|CALCRL	IAPP	CALCRL	Secreted	CALCR
IAPP|CALCR_RAMP1	IAPP	CALCR_RAMP1	Secreted	IAPP
IAPP|RAMP2_CALCR	IAPP	RAMP2_CALCR	Secreted	IAPP
IAPP|RAMP3_CALCR	IAPP	RAMP3_CALCR	Secreted	IAPP
IBSP|ITGAV_ITGB5	IBSP	ITGAV_ITGB5	ECM-Receptor	BSP
ICAM1|ITGAL	ICAM1	ITGAL	Cell-Cell Contact	ICAM
ICAM1|ITGAL_ITGB2	ICAM1	ITGAL_ITGB2	Cell-Cell Contact	ICAM
ICAM1|ITGAM_ITGB2	ICAM1	ITGAM_ITGB2	Cell-Cell Contact	ICAM
ICAM1|ITGAX_ITGB2	ICAM1	ITGAX_ITGB2	Cell-Cell Contact	ICAM
ICAM1|SPN	ICAM1	SPN	Cell-Cell Contact	ICAM
ICAM2|ITGAL_ITGB2	ICAM2	ITGAL_ITGB2	Cell-Cell Contact	ICAM
ICAM2|ITGAM_ITGB2	ICAM2	ITGAM_ITGB2	Cell-Cell Contact	ICAM
ICAM5|CD209	ICAM5	CD209	Cell-Cell Contact	ICAM
ICOSLG|CD28	ICOSLG	CD28	Cell-Cell Contact	ICOS
ICOSLG|CTLA4	ICOSLG	CTLA4	Cell-Cell Contact	ICOS
ICOSLG|ICOS	ICOSLG	ICOS	Cell-Cell Contact	ICOS
IFNA1|IFNAR1_IFNAR2	IFNA1	IFNAR1_IFNAR2	Secreted	IFN-I
IFNA10|IFNAR1_IFNAR2	IFNA10	IFNAR1_IFNAR2	Secreted	IFN-I
IFNA13|IFNAR1_IFNAR2	IFNA13	IFNAR1_IFNAR2	Secreted	IFN-I
IFNA14|IFNAR1_IFNAR2	IFNA14	IFNAR1_IFNAR2	Secreted	IFN-I
IFNA16|IFNAR1_IFNAR2	IFNA16	IFNAR1_IFNAR2	Secreted	IFN-I
IFNA17|IFNAR1_IFNAR2	IFNA17	IFNAR1_IFNAR2	Secreted	IFN-I
IFNA2|IFNAR1_IFNAR2	IFNA2	IFNAR1_IFNAR2	Secreted	IFN-I
IFNA21|IFNAR1_IFNAR2	IFNA21	IFNAR1_IFNAR2	Secreted	IFN-I
IFNA4|IFNAR1_IFNAR2	IFNA4	IFNAR1_IFNAR2	Secreted	IFN-I
IFNA5|IFNAR1_IFNAR2	IFNA5	IFNAR1_IFNAR2	Secreted	IFN-I
IFNA6|IFNAR1_IFNAR2	IFNA6	IFNAR1_IFNAR2	Secreted	IFN-I
IFNA7|IFNAR1_IFNAR2	IFNA7	IFNAR1_IFNAR2	Secreted	IFN-I
IFNA8|IFNAR1_IFNAR2	IFNA8	IFNAR1_IFNAR2	Secreted	IFN-I
IFNB1|IFNAR1_IFNAR2	IFNB1	IFNAR1_IFNAR2	Secreted	IFN-I
IFNE|IFNAR1_IFNAR2	IFNE	IFNAR1_IFNAR2	Secreted	IFN-I
IFNG|IFNGR1_IFNGR2	IFNG	IFNGR1_IFNGR2	Secreted	IFN-II
IFNK|IFNAR1_IFNAR2	IFNK	IFNAR1_IFNAR2	Secreted	IFN-I
IFNW1|IFNAR1_IFNAR2	IFNW1	IFNAR1_IFNAR2	Secreted	IFN-I
IGF1|IGF1R	IGF1	IGF1R	Secreted	IGF
IGF1|ITGA6_ITGB4	IGF1	ITGA6_ITGB4	Secreted	IGF
IGF2|IGF1R	IGF2	IGF1R	Secreted	IGF
IGF2|IGF2R	IGF2	IGF2R	Secreted	IGF
IGF2|ITGA6_ITGB4	IGF2	ITGA6_ITGB4	Secreted	IGF
IGFBP3|TMEM219	IGFBP3	TMEM219	Secreted	IGFBP
IGFL3|IGFLR1	IGFL3	IGFLR1	Secreted	IGF
IHH|PTCH1_SMO	IHH	PTCH1_SMO	Secreted	HH
IHH|PTCH2_SMO	IHH	PTCH2_SMO	Secreted	HH
IL10|IL10RA_IL10RB	IL10	IL10RA_IL10RB	Secreted	IL10
IL11|IL11RA_IL6ST	IL11	IL11RA_IL6ST	Secreted	IL6
IL12B_IL12A|IL12RB1_IL12RB2	IL12B_IL12A	IL12RB1_IL12RB2	Secreted	IL12
IL12B_IL23A|IL12RB1_IL23R	IL12B_IL23A	IL12RB1_IL23R	Secreted	IL12
IL13|IL13RA1	IL13	IL13RA1	Secreted	IL4
IL13|IL13RA1_IL4R	IL13	IL13RA1_IL4R	Secreted	IL4
IL13|IL13RA2	IL13	IL13RA2	Secreted	IL4
IL13|IL13RA2_IL4R	IL13	IL13RA2_IL4R	Secreted	IL4
IL15|IL15RA_IL2RB_IL2RG	IL15	IL15RA_IL2RB_IL2RG	Secreted	IL2
IL16|CD4	IL16	CD4	Secreted	IL16
IL17A|IL17RA_IL17RC	IL17A	IL17RA_IL17RC	Secreted	IL17
IL17A_IL17F|IL17RA_IL17RC	IL17A_IL17F	IL17RA_IL17RC	Secreted	IL17
IL17B|IL17RB	IL17B	IL17RB	Secreted	IL17
IL17C|IL17RA_IL17RE	IL17C	IL17RA_IL17RE	Secreted	IL17
IL17F|IL17RA_IL17RC	IL17F	IL17RA_IL17RC	Secreted	IL17
IL18|IL18RAP_IL18R1	IL18	IL18RAP_IL18R1	Secreted	IL1
IL19|IL20RA_IL20RB	IL19	IL20RA_IL20RB	Secreted	IL10
